newNum,oldNum
526,678
533,1099
536,682
537,681
538,680
539,679
540,685
541,684
542,683
547,1100
548,1101
550,1105
552,950
553,947
554,948
557,687
558,688
559,689
560,690
562,693
564,955
565,956
566,957
567,958
568,959
569,709
570,708
571,707
572,710
573,711
575,694
576,695
582,696
733,960
734,961
735,962
740,787
767,978
770,981
771,979
772,980
773,984
804,985
805,986
825,819
826,820
827,999
828,998
829,997
830,1121
831,996
844,1123
845,1000
846,1001
847,821
850,825
851,1002
854,1126
1456,949
2178,987